user,date,True_class,Reconstruction_error,error_min_max,pred_y
alamode@inzent.com,2020-12-03 13:00:00,0,0.4592004271670091,0.004592004271670089,0
alamode@inzent.com,2020-12-03 09:00:00,0,0.2426896003136763,0.002426896003136763,0
alamode@inzent.com,2020-12-03 10:00:00,0,0.23892343132273924,0.0023892343132273924,0
alamode@inzent.com,2020-12-03 11:00:00,0,0.24148722162120986,0.0024148722162120988,0
bho3538@inzent.com,2020-12-02 17:00:00,0,0.42162520692521294,0.0042162520692521285,0
bho3538@inzent.com,2020-12-03 10:00:00,0,0.3630966058629855,0.0036309660586298547,0
bho3538@inzent.com,2020-12-03 11:00:00,0,0.441357112038526,0.00441357112038526,0
gypark@inzent.com,2020-12-03 08:00:00,0,3669.7875405425057,36.69787540542506,1
gypark@inzent.com,2020-12-03 09:00:00,0,3697.244590631051,36.97244590631049,1
gypark@inzent.com,2020-12-03 10:00:00,0,3691.1423662243,36.911423662242996,1
gypark@inzent.com,2020-12-03 11:00:00,0,3627.3034303429786,36.27303430342979,1
gypark@inzent.com,2020-12-03 13:00:00,0,3964.1768408595894,39.641768408595894,1
orsel@inzent.com,2020-12-03 09:00:00,0,81.36060747860469,0.8136060747860471,1
orsel@inzent.com,2020-12-03 10:00:00,0,138.6086678407172,1.3860866784071724,1
orsel@inzent.com,2020-12-03 11:00:00,0,201.57370968761242,2.0157370968761232,1
seoha@inzent.com,2020-12-03 09:00:00,0,79.94591365150063,0.7994591365150063,1
seoha@inzent.com,2020-12-03 10:00:00,0,151.6186455588437,1.5161864555884368,1
seoha@inzent.com,2020-12-03 11:00:00,0,217.3845965322906,2.173845965322906,1
shin3372@inzent.com,2020-12-03 09:00:00,0,633.8028937290766,6.338028937290765,1
shin3372@inzent.com,2020-12-03 10:00:00,0,1030.3545683981893,10.303545683981893,1
shin3372@inzent.com,2020-12-03 11:00:00,0,1087.8610139555192,10.878610139555194,1
shin3372@inzent.com,2020-12-03 14:00:00,0,1431.8438179284708,14.318438179284707,1
ski0817@inzent.com,2020-12-03 10:00:00,0,477.24247662595815,4.772424766259582,1
ski0817@inzent.com,2020-12-03 11:00:00,0,860.9684702983769,8.609684702983769,1
sun10au@inzent.com,2020-12-03 09:00:00,0,382.09741273365637,3.820974127336564,1
sun10au@inzent.com,2020-12-03 10:00:00,0,539.1997001274369,5.391997001274369,1
sun10au@inzent.com,2020-12-03 11:00:00,0,689.6907378777913,6.896907378777912,1
whchoi@inzent.com,2020-12-03 11:00:00,0,506.5818477943634,5.065818477943632,1
whchoi@inzent.com,2020-12-03 14:00:00,0,280.10983794519683,2.801098379451968,1
gypark@inzent.com,2020-12-04 08:00:00,0,0.4376159613502057,0.0043761596135020574,0
kbj804@inzent.com,2020-12-07 09:00:00,0,2806.0267398480355,0.2806026739848035,1
kbj804@inzent.com,2020-12-07 10:00:00,0,155269.507292684,15.526950729268401,1
kbj804@inzent.com,2020-12-07 11:00:00,0,3144.6125176276973,0.3144612517627697,1
kbj804@inzent.com,2020-12-07 12:00:00,0,2228.1980606519683,0.22281980606519688,1
kbj804@inzent.com,2020-12-07 15:00:00,0,1569.646016746197,0.15696460167461965,1
kbj804@inzent.com,2020-12-07 16:00:00,0,2058.7671635362067,0.20587671635362068,1
kbj804@inzent.com,2020-12-07 17:00:00,0,2062.3614652539954,0.20623614652539954,1
kbj804@inzent.com,2020-12-07 18:00:00,0,2106.696158986765,0.2106696158986765,1
orsel@inzent.com,2020-12-07 13:00:00,0,10538.964133186566,1.0538964133186566,1
orsel@inzent.com,2020-12-07 14:00:00,0,12598.779444958012,1.2598779444958013,1
orsel@inzent.com,2020-12-07 15:00:00,0,14235.928888292072,1.4235928888292069,1
orsel@inzent.com,2020-12-07 16:00:00,0,15641.340926942537,1.5641340926942535,1
orsel@inzent.com,2020-12-07 17:00:00,0,16325.41537599191,1.6325415375991907,1
orsel@inzent.com,2020-12-07 18:00:00,0,16429.09561518165,1.6429095615181653,1
seoha@inzent.com,2020-12-07 09:00:00,0,4313.728512185284,0.4313728512185284,1
seoha@inzent.com,2020-12-07 10:00:00,0,5311.788522399953,0.5311788522399953,1
seoha@inzent.com,2020-12-07 11:00:00,0,5840.732966373304,0.5840732966373304,1
seoha@inzent.com,2020-12-07 12:00:00,0,5845.7660211734765,0.5845766021173476,1
seoha@inzent.com,2020-12-07 13:00:00,0,8229.874033409857,0.8229874033409856,1
seoha@inzent.com,2020-12-07 14:00:00,0,8165.168884560979,0.8165168884560978,1
seoha@inzent.com,2020-12-07 15:00:00,0,7305.929970843762,0.7305929970843762,1
seoha@inzent.com,2020-12-07 16:00:00,0,7864.213256377864,0.7864213256377864,1
seoha@inzent.com,2020-12-07 17:00:00,0,8126.671249715985,0.8126671249715985,1
seoha@inzent.com,2020-12-07 18:00:00,0,3996.3920187570866,0.3996392018757087,1
shin3372@inzent.com,2020-12-07 10:00:00,0,17906.355138171308,1.7906355138171308,1
shin3372@inzent.com,2020-12-07 11:00:00,0,20096.125092919083,2.009612509291908,1
shin3372@inzent.com,2020-12-07 12:00:00,0,20129.165045425623,2.0129165045425625,1
shin3372@inzent.com,2020-12-07 13:00:00,0,20283.048783471368,2.0283048783471367,1
shin3372@inzent.com,2020-12-07 14:00:00,0,15172.263178067993,1.5172263178067988,1
shin3372@inzent.com,2020-12-07 15:00:00,0,16606.72770120611,1.6606727701206112,1
384081@inzent.com,2020-12-08 10:00:00,0,21936.328985799624,2.1936328985799625,1
384081@inzent.com,2020-12-08 11:00:00,0,31677.349051724723,3.1677349051724715,1
384081@inzent.com,2020-12-08 12:00:00,0,39579.974223125886,3.9579974223125887,1
384081@inzent.com,2020-12-08 13:00:00,0,43480.42484315609,4.3480424843156085,1
384081@inzent.com,2020-12-08 14:00:00,0,43745.274963295175,4.3745274963295175,1
384081@inzent.com,2020-12-08 15:00:00,0,45437.83182437573,4.543783182437573,1
384081@inzent.com,2020-12-08 16:00:00,0,52041.09130907812,5.204109130907812,1
384081@inzent.com,2020-12-08 17:00:00,0,53569.485071275994,5.3569485071275995,1
384081@inzent.com,2020-12-08 18:00:00,0,54100.477313965515,5.410047731396553,1
bho3538@inzent.com,2020-12-08 10:00:00,0,3471.7043397002153,0.3471704339700215,1
bho3538@inzent.com,2020-12-08 11:00:00,0,3645.730058333613,0.3645730058333614,1
bho3538@inzent.com,2020-12-08 12:00:00,0,3670.708153364162,0.3670708153364162,1
bho3538@inzent.com,2020-12-08 13:00:00,0,3700.56372896379,0.3700563728963789,1
bho3538@inzent.com,2020-12-08 14:00:00,0,2595.705678645131,0.2595705678645131,1
